scale,height,width,stride_y,stride_x,radius,true_dy_feature,true_dx_feature,epe_px,zero_offset_epe_px,epe_gain_vs_zero,argmax_epe_px,pck_4px,pck_8px,confidence,entropy,true_margin,predicted_dy_px,predicted_dx_px,fusion_weight,sample,block,slice,translation,true_dy_px,true_dx_px,timestep,alpha_bar,noise_std,snr
1,64,64,8.0,8.0,3,1.0,0.0,8.143152236938477,8.0,-0.14315223693847656,5.056962490081787,0.09373202919960022,0.4422081708908081,0.057629477232694626,0.914478063583374,-0.0017181314760819077,1.0731213092803955,0.06474921107292175,0.007483204361051321,0,2,0,1,8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
2,32,32,16.0,16.0,2,0.5,0.0,8.248885154724121,8.0,-0.2488851547241211,9.0181303024292,0.1255924254655838,0.48341232538223267,0.13938872516155243,0.8499372005462646,0.002559992950409651,2.0081188678741455,-0.3197784423828125,0.028121892362833023,0,2,0,1,8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
3,16,16,32.0,32.0,1,0.25,0.0,6.205674648284912,8.0,1.794325351715088,7.999999523162842,0.3195876181125641,0.7216494679450989,0.4830950200557709,0.6377734541893005,0.0762723982334137,3.10809326171875,-0.35876891016960144,0.1878979355096817,0,2,0,1,8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
0,128,128,4.0,4.0,3,2.0,0.0,7.842116832733154,8.0,0.1578831672668457,7.6557087898254395,0.018987342715263367,0.5038837790489197,0.05060824751853943,0.9552887082099915,-0.05787196755409241,0.3586529493331909,0.04377962276339531,0.0032003498636186123,0,2,0,1,8,0,5,0.9909166693687439,0.09530650886091728,109.09177586897036
1,64,64,8.0,8.0,3,1.0,0.0,8.162720680236816,8.0,-0.1627206802368164,6.021049976348877,0.09200690686702728,0.4399079978466034,0.06068015471100807,0.9132115244865417,-0.009915590286254883,1.0433416366577148,0.06721562892198563,0.007882781326770782,0,2,0,1,8,0,5,0.9909166693687439,0.09530650886091728,109.09177586897036
2,32,32,16.0,16.0,2,0.5,0.0,8.358447074890137,8.0,-0.3584470748901367,8.72968578338623,0.11137440800666809,0.47156399488449097,0.13625504076480865,0.8579903244972229,0.005302113015204668,1.8702661991119385,-0.33065342903137207,0.026276370510458946,0,2,0,1,8,0,5,0.9909166693687439,0.09530650886091728,109.09177586897036
3,16,16,32.0,32.0,1,0.25,0.0,6.314538478851318,8.0,1.6854615211486816,7.999999523162842,0.27835050225257874,0.7216494679450989,0.47588515281677246,0.6488870978355408,0.07569459080696106,2.9900152683258057,-0.3669905364513397,0.18004949390888214,0,2,0,1,8,0,5,0.9909166693687439,0.09530650886091728,109.09177586897036
0,128,128,4.0,4.0,3,2.0,0.0,7.863611698150635,8.0,0.13638830184936523,7.842477321624756,0.017836593091487885,0.5033084154129028,0.06770655512809753,0.9409545063972473,-0.09495904296636581,0.3372369408607483,0.04784484952688217,0.0053474479354918,0,2,0,1,8,0,10,0.9831954836845398,0.1296322348625534,58.5078121397637
1,64,64,8.0,8.0,3,1.0,0.0,8.196182250976562,8.0,-0.1961822509765625,6.49871826171875,0.09085682034492493,0.4335825443267822,0.06478338688611984,0.9110469222068787,-0.01847519539296627,1.003310203552246,0.07277362048625946,0.00848862249404192,0,2,0,1,8,0,10,0.9831954836845398,0.1296322348625534,58.5078121397637
2,32,32,16.0,16.0,2,0.5,0.0,8.460448265075684,8.0,-0.4604482650756836,8.582279205322266,0.10189573466777802,0.4620853364467621,0.13231438398361206,0.8670556545257568,0.007570256479084492,1.7222102880477905,-0.33225175738334656,0.0240804273635149,0,2,0,1,8,0,10,0.9831954836845398,0.1296322348625534,58.5078121397637
