Index,Pairname,NCC_Before,NCC_After,NCC_Delta,SSIM_Before,SSIM_After,SSIM_Delta,NCC_HeartROI_Before,NCC_HeartROI_After,NCC_HeartROI_Delta,SSIM_HeartROI_Before,SSIM_HeartROI_After,SSIM_HeartROI_Delta,NCC_LiverROI_Before,NCC_LiverROI_After,NCC_LiverROI_Delta,SSIM_LiverROI_Before,SSIM_LiverROI_After,SSIM_LiverROI_Delta,Dice_Heart_Before,Dice_Heart_After,Dice_Heart_Delta,Dice_Heart_Cov,Dice_Heart_Rec,Dice_Heart_IoU,Dice_Liver_Before,Dice_Liver_After,Dice_Liver_Delta,Dice_Liver_Cov,Dice_Liver_Rec,Dice_Liver_IoU,Min_Jac,N_Foldings,Jac_Neg_Ratio,Method,Phase
43,block5_slice06_phase08,0.7224,0.8981,0.1757,0.9149,0.991,0.076,0.7761,0.9902,0.2141,0.9716,0.9973,0.0257,0.9364,0.9976,0.0611,0.8316,0.9862,0.1545,0.6136,0.6631,0.0495,1.719,0.901,0.496,0.9355,0.9726,0.0371,0.947,0.947,0.947,0.002,0,0.0,Baseline,8
44,block5_slice06_phase09,0.8421,0.9066,0.0645,0.9811,0.9948,0.0137,0.8551,0.9864,0.1312,0.9738,0.9944,0.0205,0.9922,0.9992,0.007,0.9708,0.9942,0.0234,0.6171,0.6901,0.073,1.757,0.951,0.527,0.98,0.9937,0.0138,0.99,0.989,0.988,0.3932,0,0.0,Baseline,9
45,block5_slice07_phase01,0.742,0.8908,0.1488,0.9357,0.9907,0.055,0.4733,0.979,0.5057,0.9123,0.9868,0.0745,0.9654,0.9985,0.0331,0.892,0.9901,0.0982,0.6394,0.9141,0.2747,0.983,0.906,0.842,0.955,0.9767,0.0217,0.954,0.954,0.954,0.1048,0,0.0,Baseline,1
46,block5_slice07_phase02,0.5087,0.8767,0.368,0.8339,0.9815,0.1476,0.1748,0.9762,0.8013,0.9119,0.9938,0.0819,0.8246,0.9944,0.1698,0.6783,0.9746,0.2963,0.5037,0.8583,0.3546,0.982,0.85,0.752,0.8908,0.9813,0.0905,0.974,0.968,0.963,-0.3758,533,0.2,Baseline,2
47,block5_slice07_phase03,0.3456,0.8315,0.4859,0.7879,0.9532,0.1653,-0.1169,0.956,1.0729,0.9026,0.9911,0.0885,0.7028,0.9668,0.264,0.6091,0.9159,0.3069,0.2881,0.7646,0.4765,0.963,0.751,0.619,0.8292,0.9519,0.1227,1.011,0.957,0.908,-1.2253,3043,1.16,Baseline,3
48,block5_slice07_phase04,0.3015,0.7789,0.4774,0.7742,0.9215,0.1473,-0.2622,0.7904,1.0526,0.8722,0.9598,0.0876,0.672,0.9429,0.2709,0.5874,0.8633,0.2759,0.243,0.7238,0.4808,0.873,0.678,0.567,0.8097,0.9393,0.1297,1.016,0.947,0.886,-1.1846,4119,1.57,Baseline,4
49,block5_slice07_phase05,0.3191,0.8095,0.4904,0.7808,0.9373,0.1565,-0.18,0.937,1.117,0.8938,0.9859,0.092,0.6858,0.9539,0.2681,0.6002,0.8858,0.2856,0.2589,0.7425,0.4836,0.939,0.72,0.591,0.8174,0.9415,0.1241,1.013,0.947,0.889,-1.2876,3722,1.42,Baseline,5
50,block5_slice07_phase06,0.3829,0.85,0.467,0.7978,0.9649,0.1671,-0.0941,0.9688,1.0629,0.8979,0.9925,0.0945,0.7303,0.9776,0.2472,0.6214,0.9375,0.3161,0.3248,0.7893,0.4645,0.977,0.78,0.652,0.8473,0.9624,0.1152,1.023,0.973,0.928,-1.319,2576,0.98,Baseline,6
51,block5_slice07_phase07,0.4935,0.8742,0.3807,0.8317,0.9795,0.1478,0.0092,0.9724,0.9632,0.8829,0.9868,0.1039,0.8261,0.9943,0.1681,0.6811,0.9735,0.2925,0.441,0.8796,0.4386,0.92,0.845,0.785,0.8891,0.9712,0.0821,0.949,0.946,0.944,-0.7059,721,0.28,Baseline,7
52,block5_slice07_phase08,0.712,0.8953,0.1833,0.9118,0.9921,0.0803,0.7035,0.9914,0.2878,0.9633,0.9974,0.0341,0.935,0.9982,0.0632,0.8215,0.9885,0.167,0.7316,0.9077,0.1761,1.006,0.911,0.831,0.9366,0.9727,0.0361,0.947,0.947,0.947,0.0243,0,0.0,Baseline,8
