Index,Pairname,NCC_Before,NCC_After,NCC_Delta,SSIM_Before,SSIM_After,SSIM_Delta,NCC_HeartROI_Before,NCC_HeartROI_After,NCC_HeartROI_Delta,SSIM_HeartROI_Before,SSIM_HeartROI_After,SSIM_HeartROI_Delta,NCC_LiverROI_Before,NCC_LiverROI_After,NCC_LiverROI_Delta,SSIM_LiverROI_Before,SSIM_LiverROI_After,SSIM_LiverROI_Delta,Dice_Heart_Before,Dice_Heart_After,Dice_Heart_Delta,Dice_Heart_Cov,Dice_Heart_Rec,Dice_Heart_IoU,Dice_Liver_Before,Dice_Liver_After,Dice_Liver_Delta,Dice_Liver_Cov,Dice_Liver_Rec,Dice_Liver_IoU,Min_Jac,N_Foldings,Jac_Neg_Ratio,Method,Phase
71,block5_slice09_phase09,0.8279,0.8884,0.0605,0.9775,0.9948,0.0172,0.7286,0.9937,0.2651,0.9495,0.995,0.0455,0.992,0.9988,0.0068,0.9663,0.9943,0.028,0.7808,0.9506,0.1698,0.996,0.949,0.906,0.9828,0.9928,0.01,0.989,0.988,0.986,-0.1711,65,0.02,MotionFiLM,9
72,block5_slice10_phase01,0.7179,0.8754,0.1575,0.9312,0.9927,0.0615,0.3016,0.9858,0.6842,0.876,0.9882,0.1122,0.9672,0.9979,0.0307,0.8868,0.9907,0.1039,0.5708,0.8736,0.3027,0.906,0.833,0.776,0.9607,0.9893,0.0286,0.984,0.981,0.979,-0.0324,8,0.0,MotionFiLM,1
73,block5_slice10_phase02,0.5098,0.8601,0.3503,0.8468,0.9822,0.1354,0.0183,0.972,0.9537,0.8819,0.9914,0.1094,0.853,0.9925,0.1396,0.7031,0.9709,0.2679,0.4972,0.7875,0.2903,0.904,0.75,0.65,0.8988,0.9791,0.0803,0.996,0.977,0.959,-1.2005,1104,0.42,MotionFiLM,2
74,block5_slice10_phase03,0.3705,0.7924,0.422,0.8055,0.941,0.1355,-0.1429,0.8998,1.0427,0.8852,0.9835,0.0983,0.7252,0.9581,0.233,0.6249,0.8782,0.2533,0.3395,0.6761,0.3366,0.892,0.639,0.511,0.8321,0.9494,0.1172,0.981,0.94,0.904,-1.1084,2286,0.87,MotionFiLM,3
75,block5_slice10_phase04,0.3233,0.7025,0.3792,0.7915,0.9079,0.1164,-0.208,0.4402,0.6482,0.8678,0.9463,0.0784,0.6629,0.9321,0.2692,0.586,0.8178,0.2318,0.3087,0.5297,0.2211,0.642,0.435,0.36,0.8112,0.9422,0.1311,0.992,0.938,0.891,-1.9876,2778,1.06,MotionFiLM,4
76,block5_slice10_phase05,0.3479,0.7513,0.4033,0.798,0.9229,0.1249,-0.1681,0.8067,0.9748,0.8817,0.9717,0.09,0.6935,0.9434,0.25,0.6081,0.8426,0.2345,0.3094,0.6327,0.3233,0.874,0.593,0.463,0.8186,0.941,0.1224,0.974,0.929,0.889,-1.3788,2554,0.97,MotionFiLM,5
77,block5_slice10_phase06,0.4081,0.8278,0.4197,0.8158,0.9594,0.1437,-0.1328,0.9274,1.0602,0.8797,0.9858,0.1061,0.7603,0.9729,0.2126,0.6428,0.9195,0.2767,0.3732,0.7038,0.3305,0.879,0.661,0.543,0.8509,0.9607,0.1098,0.992,0.957,0.924,-1.4865,2041,0.78,MotionFiLM,6
78,block5_slice10_phase07,0.5056,0.8567,0.3511,0.8466,0.9806,0.1341,-0.0657,0.9393,1.0049,0.8635,0.9818,0.1184,0.8522,0.9925,0.1403,0.7074,0.9708,0.2634,0.4481,0.7821,0.334,0.859,0.727,0.642,0.8996,0.979,0.0794,0.996,0.977,0.959,-1.1632,1138,0.43,MotionFiLM,7
79,block5_slice10_phase08,0.6839,0.8755,0.1916,0.9117,0.9927,0.081,0.5332,0.9945,0.4613,0.9357,0.9978,0.0621,0.9429,0.9969,0.054,0.8285,0.9882,0.1598,0.7151,0.8812,0.1661,0.967,0.867,0.788,0.9451,0.9864,0.0414,0.98,0.977,0.973,-0.2406,71,0.03,MotionFiLM,8
80,block5_slice10_phase09,0.8185,0.8792,0.0607,0.9772,0.9955,0.0183,0.7129,0.9945,0.2816,0.943,0.9949,0.0519,0.9919,0.9988,0.0069,0.9658,0.9945,0.0287,0.7738,0.9367,0.1628,0.97,0.923,0.881,0.9826,0.9929,0.0102,0.989,0.988,0.986,-0.0588,17,0.01,MotionFiLM,9
